frame,time_s,side,shoulder_elev,elbow_flex
240,8.0,right,-70.89,142.34
241,8.0333,right,-70.38,141.86
242,8.0667,right,-70.64,141.17
243,8.1,right,-70.75,139.65
244,8.1333,right,-70.75,139.02
245,8.1667,right,-69.96,137.13
246,8.2,right,-70.32,134.99
247,8.2333,right,-69.28,130.8
248,8.2667,right,-69.33,129.01
249,8.3,right,-69.7,127.89
250,8.3333,right,-69.81,125.76
251,8.3667,right,-70.2,125.2
252,8.4,right,-71.72,126.19
253,8.4333,right,-73.13,132.83
254,8.4667,right,-76.14,139.47
255,8.5,right,-76.52,143.7
256,8.5333,right,-76.02,146.18
257,8.5667,right,-77.05,148.35
258,8.6,right,-76.72,150.08
259,8.6333,right,-75.29,150.87
260,8.6667,right,-75.55,151.24
261,8.7,right,-75.75,150.84
262,8.7333,right,-75.66,151.28
263,8.7667,right,-74.32,153.38
264,8.8,right,-74.35,153.26
265,8.8333,right,-74.6,152.87
266,8.8667,right,-74.88,152.87
267,8.9,right,-74.94,153.6
268,8.9333,right,-74.74,153.89
269,8.9667,right,-75.73,153.22
270,9.0,right,-75.94,154.86
271,9.0333,right,-76.14,154.72
272,9.0667,right,-76.24,153.89
273,9.1,right,-76.29,153.8
274,9.1333,right,-77.37,154.21
275,9.1667,right,-78.12,153.91
276,9.2,right,-79.16,154.89
277,9.2333,right,-78.91,153.66
278,9.2667,right,-78.82,152.02
279,9.3,right,-79.57,151.27
280,9.3333,right,-78.98,151.32
281,9.3667,right,-78.96,151.23
282,9.4,right,-78.97,151.2
283,9.4333,right,-79.04,151.42
284,9.4667,right,-79.03,151.17
285,9.5,right,-78.95,151.23
286,9.5333,right,-78.27,150.88
287,9.5667,right,-77.98,150.03
288,9.6,right,-77.96,150.08
289,9.6333,right,-77.97,150.13
290,9.6667,right,-78.36,149.16
291,9.7,right,-78.11,149.41
292,9.7333,right,-78.22,149.18
293,9.7667,right,-78.06,148.46
294,9.8,right,-77.14,147.25
295,9.8333,right,-77.8,146.4
296,9.8667,right,-77.67,145.29
297,9.9,right,-77.61,146.5
298,9.9333,right,-77.46,148.7
299,9.9667,right,-77.43,148.01
300,10.0,right,-76.34,144.71
301,10.0333,right,-74.82,140.14
302,10.0667,right,-72.57,136.04
303,10.1,right,-69.77,133.75
304,10.1333,right,-67.89,130.04
305,10.1667,right,-66.21,126.27
306,10.2,right,-65.5,122.26
307,10.2333,right,-59.36,122.59
308,10.2667,right,-59.08,116.29
309,10.3,right,-58.92,113.04
310,10.3333,right,-58.28,109.99
311,10.3667,right,-58.23,108.14
312,10.4,right,-59.46,110.68
313,10.4333,right,-62.77,118.34
314,10.4667,right,-65.2,124.83
315,10.5,right,-67.76,131.49
316,10.5333,right,-70.09,136.34
317,10.5667,right,-70.14,136.26
318,10.6,right,-69.74,137.93
319,10.6333,right,-68.95,143.68
320,10.6667,right,-68.87,151.35
321,10.7,right,-66.58,149.85
322,10.7333,right,-66.93,151.36
323,10.7667,right,-66.31,154.35
324,10.8,right,-65.92,153.33
325,10.8333,right,-65.43,152.78
326,10.8667,right,-65.61,153.31
327,10.9,right,-65.95,153.84
328,10.9333,right,-66.23,154.69
329,10.9667,right,-66.14,154.34
330,11.0,right,-66.15,150.31
331,11.0333,right,-66.62,148.19
332,11.0667,right,-66.4,145.72
333,11.1,right,-65.86,142.87
334,11.1333,right,-65.51,143.28
335,11.1667,right,-66.08,145.48
336,11.2,right,-66.28,144.76
337,11.2333,right,-65.94,145.53
338,11.2667,right,-66.14,143.44
339,11.3,right,-69.04,134.59
340,11.3333,right,-67.62,134.5
341,11.3667,right,-68.54,132.29
342,11.4,right,-69.31,130.6
343,11.4333,right,-67.4,130.15
344,11.4667,right,-66.95,129.82
345,11.5,right,-65.07,130.45
346,11.5333,right,-64.03,131.71
347,11.5667,right,-62.18,130.8
348,11.6,right,-60.98,132.64
349,11.6333,right,-61.23,133.01
350,11.6667,right,-60.94,141.5
351,11.7,right,-58.35,155.22
352,11.7333,right,-59.76,165.5
353,11.7667,right,-60.59,166.58
354,11.8,right,-60.86,163.01
355,11.8333,right,-60.4,161.04
356,11.8667,right,-60.07,159.96
357,11.9,right,-59.68,159.21
358,11.9333,right,-59.33,160.19
359,11.9667,right,-60.48,161.95
360,12.0,right,-60.9,156.63
361,12.0333,right,-60.7,155.33
362,12.0667,right,-60.44,155.46
363,12.1,right,-61.19,153.49
364,12.1333,right,-65.55,146.39
365,12.1667,right,-69.38,144.06
366,12.2,right,-71.06,142.76
367,12.2333,right,-72.9,143.86
368,12.2667,right,-74.43,146.43
369,12.3,right,-73.9,144.67
370,12.3333,right,-75.08,145.94
371,12.3667,right,-75.46,145.82
372,12.4,right,-75.7,145.81
373,12.4333,right,-75.28,143.87
374,12.4667,right,-72.75,136.46
375,12.5,right,-63.45,120.9
376,12.5333,right,-58.14,116.58
377,12.5667,right,-55.55,111.81
378,12.6,right,-52.75,97.18
379,12.6333,right,-51.93,98.32
380,12.6667,right,-44.7,97.99
381,12.7,right,-44.74,92.13
382,12.7333,right,-44.38,82.66
383,12.7667,right,-40.46,82.96
384,12.8,right,-38.97,83.16
385,12.8333,right,-39.1,82.85
